강의실,실습실명,요일,교시,시간,과목명,교수자,구분,건물
911호,융합소프트웨어실습실,화요일,1-3교시,09:00-11:50,공학설계입문,김성우,학부,정보공학관
911호,융합소프트웨어실습실,수요일,1-3교시,09:00-11:50,공학설계입문,김성우,학부,정보공학관
911호,융합소프트웨어실습실,목요일,1-3교시,09:00-11:50,Python프로그래밍,빈기철,학부,정보공학관
911호,융합소프트웨어실습실,월요일,6-7교시,14:00-15:50,컴퓨터비전응용,권순각,학부,정보공학관
911호,융합소프트웨어실습실,화요일,6교시,14:00-14:50,컴퓨터비전응용,권순각,학부,정보공학관
911호,융합소프트웨어실습실,화요일,8교시,16:00-16:50,지도교수멘토링 VII,박유현,학부,정보공학관
911호,융합소프트웨어실습실,목요일,6-8교시,14:00-16:50,그래픽스프로그래밍,빈기철,학부,정보공학관
911호,융합소프트웨어실습실,금요일,7교시,15:00-15:50,캡스톤디자인,권순각,학부,정보공학관
911호,융합소프트웨어실습실,금요일,8-9교시,16:00-17:50,캡스톤디자인 II,권순각,학부,정보공학관
915호,프로그래밍언어실습실,화요일,1-6교시,09:00-14:50,객체지향프로그래밍,장희숙,학부,정보공학관
915호,프로그래밍언어실습실,화요일,8교시,16:00-16:50,지도교수멘토링 VII,김성우,학부,정보공학관
915호,프로그래밍언어실습실,수요일,2-4교시,10:00-12:50,컴퓨터프로그래밍,장희숙,학부,정보공학관
915호,프로그래밍언어실습실,수요일,5-7교시,13:00-15:50,디지털영상처리,장희숙,대학원,정보공학관
915호,프로그래밍언어실습실,목요일,1-3교시,09:00-11:50,컴퓨터프로그래밍,장희숙,학부,정보공학관
915호,프로그래밍언어실습실,목요일,4-6교시,12:00-14:50,디지털영상처리,장희숙,대학원,정보공학관
915호,프로그래밍언어실습실,금요일,3-5교시,11:00-13:50,Python프로그래밍,장희숙,학부,정보공학관
915호,프로그래밍언어실습실,금요일,6-8교시,14:00-16:50,컴퓨터개론,장희숙,학부,정보공학관
915호,프로그래밍언어실습실,월요일,6-8교시,14:00-16:50,IT융합서비스,박유현,대학원,정보공학관
916호,소프트웨어공학실습실,월요일,2-4교시,10:00-12:50,머신러닝,권오현/권오준,학부,정보공학관
916호,소프트웨어공학실습실,화요일,4-5교시,12:00-13:50,객체지향설계,이종민,학부,정보공학관
916호,소프트웨어공학실습실,화요일,8교시,16:00-16:50,지도교수멘토링 VII,이중화,학부,정보공학관
916호,소프트웨어공학실습실,수요일,1-4교시,09:00-12:50,소프트웨어공학(키스톤),이종민,학부,정보공학관
916호,소프트웨어공학실습실,수요일,5-8교시,13:00-16:50,임베디드소프트웨어,김성우,학부,정보공학관
916호,소프트웨어공학실습실,목요일,2-3교시,10:00-11:50,객체지향설계,이종민,학부,정보공학관
916호,소프트웨어공학실습실,목요일,6-8교시,14:00-16:50,소프트웨어공학개론,이종민,대학원,정보공학관
916호,소프트웨어공학실습실,금요일,6-8교시,14:00-16:50,인공지능특강,권오준,대학원,정보공학관
918호,임베디드소프트웨어실습실,월요일,3-4교시,11:00-12:50,데이터사이언스,박유현,학부,정보공학관
918호,임베디드소프트웨어실습실,월요일,6-8교시,14:00-16:50,임베디드시스템(키스톤),김성우,학부,정보공학관
918호,임베디드소프트웨어실습실,월요일,9교시-야간5교시,17:00-22:05,임베디드소프트웨어,김성우,대학원,정보공학관
918호,임베디드소프트웨어실습실,화요일,4-5교시,12:00-13:50,데이터사이언스,박유현,학부,정보공학관
918호,임베디드소프트웨어실습실,화요일,8교시,16:00-16:50,지도교수멘토링 VII,이종민,학부,정보공학관
918호,임베디드소프트웨어실습실,수요일,1-4교시,09:00-12:50,미기재과목,이중화,학부,정보공학관
918호,임베디드소프트웨어실습실,수요일,5-6교시,13:00-14:50,데이터사이언스,박유현,학부,정보공학관
918호,임베디드소프트웨어실습실,목요일,1-4교시,09:00-12:50,데이터베이스이론및,미기재,학부,정보공학관
918호,임베디드소프트웨어실습실,목요일,5-6교시,13:00-14:50,데이터사이언스,박유현,학부,정보공학관
918호,임베디드소프트웨어실습실,금요일,7교시,15:00-15:50,캡스톤디자인,박유현,학부,정보공학관
918호,임베디드소프트웨어실습실,금요일,8-9교시,16:00-17:50,캡스톤디자인 II,박유현,학부,정보공학관