강의실,요일,교시,시간,과목명,교수자,구분,건물
912호,월요일,1-2교시,09:00-10:50,교과교육론(정보.컴),최병윤,학부,정보공학관
912호,월요일,5-6교시,13:00-14:50,데이터구조,이중화,학부,정보공학관
912호,화요일,1-2교시,09:00-10:50,정보보호론,권오준,학부,정보공학관
912호,화요일,3-4교시,11:00-12:50,데이터베이스이론및,이중화,학부,정보공학관
912호,화요일,6교시,14:00-14:50,운영체제,김성우,학부,정보공학관
912호,화요일,7-8교시,15:00-16:50,확률및통계,이유태,학부,정보공학관
912호,수요일,3교시,11:00-11:50,교과교육론(정보.컴),최병윤,학부,정보공학관
912호,수요일,6-7교시,14:00-15:50,논문지도(박),권순각,대학원,정보공학관
912호,목요일,3교시,11:00-11:50,데이터구조,이중화,학부,정보공학관
912호,목요일,4교시,12:00-12:50,컴퓨터네트워크,빈기철,학부,정보공학관
912호,목요일,5-6교시,13:00-14:50,AI 시대의 사고와표현,김용하,학부,정보공학관
912호,목요일,7-8교시,15:00-16:50,컴퓨터개론,권오준,학부,정보공학관
912호,금요일,1-2교시,09:00-10:50,운영체제,김성우,학부,정보공학관
912호,금요일,5-6교시,13:00-14:50,AI 시대의 사고와표현,김용하,학부,정보공학관
912호,금요일,1교시,09:00-09:50,컴퓨터개론,권오준,학부,정보공학관
913호,월요일,3교시,11:00-11:50,프로젝트와기업가정,정윤희,학부,정보공학관
913호,월요일,5-6교시,13:00-14:50,멀티미디어시스템,빈기철,학부,정보공학관
913호,월요일,8교시,16:00-16:50,컴퓨터네트워크,빈기철,학부,정보공학관
913호,화요일,7-8교시,15:00-16:50,컴퓨터네트워크,빈기철,학부,정보공학관
913호,수요일,8교시,16:00-16:50,지도교수멘토링 VII,권오준,학부,정보공학관
913호,목요일,1-2교시,09:00-10:50,확률및통계,이유태,학부,정보공학관
913호,목요일,3교시,11:00-11:50,정보보호론,권오준,학부,정보공학관
913호,목요일,5-6교시,13:00-14:50,AI 시대의 사고와표현,정윤희,학부,정보공학관
913호,금요일,1-2교시,09:00-10:50,소프트웨어공학(키),이종민,학부,정보공학관
914호,월요일,1교시,09:00-09:50,기초수학,김양곡,학부,정보공학관
914호,월요일,3교시,11:00-11:50,프로젝트와기업가정,안장혁,학부,정보공학관
914호,월요일,7-8교시,15:00-16:50,ICT기반의 창조경제,권오준,학부,정보공학관
914호,화요일,8교시,16:00-16:50,지도교수멘토링VII,권순각,학부,정보공학관
914호,수요일,7-9교시,15:00-17:50,기초수학,김양곡,학부,정보공학관
914호,수요일,야간1교시,18:00-18:45,콜라보인성의실천,박유현,학부,정보공학관
914호,수요일,야간2-4교시,18:50-21:15,디지털신호처리특론,권순각,대학원,정보공학관
914호,목요일,5-8교시,13:00-16:50,기초수학,김양곡,학부,정보공학관
914호,목요일,야간2-4교시,18:50-21:15,AI 프로그래밍입문,권순각,대학원,정보공학관
914호,금요일,1-2교시,09:00-10:50,기초수학,김양곡,학부,정보공학관
914호,금요일,7-8교시,15:00-16:50,기초수학,김양곡,학부,정보공학관