학년,학기,이수구분,교과목번호,ABEEK구분,교과목명,학점,이론,실습,설계학점
1,1,공통교양,100143,,지도교수멘토링 I,0.25,0.25,0,0
1,1,공통교양,100168,,프로젝트와기업가정신,1,1,0,0
1,1,공통교양,100108,전문교양,기본영어,2,2,0,0
1,1,공통교양,100167,전문교양,AI시대의사고와표현,2,2,0,0
1,1,공통교양,100158,,콜라보인성과지속가능발전,1,0,1,0
1,1,계열교양,201106,전공주제,Python프로그래밍,3,0,3,0
1,1,계열교양,503916,전공주제,컴퓨터프로그래밍,3,0,3,0
1,2,공통교양,100144,,지도교수멘토링 II,0.25,0.25,0,0
1,2,공통교양,100169,,프로젝트와디자인씽킹,1,1,0,0
1,2,공통교양,100030,,영어회화,2,2,0,0
1,2,공통교양,100166,,AI와디지털의 인문학,2,2,0,0
1,2,공통교양,100171,,AI리터러시,1,0,1,0
1,2,공통교양,100139,,생애및진로설계,1,1,0,0
1,2,공통교양,100137,,소프트웨어(코딩),1,1,0,0
1,2,계열교양,402043,,게임개발입문(Godot),3,0,3,0
1,2,계열교양,400725,,게임스토리텔링,3,3,0,0
1,2,계열교양,511901,전공주제,고급Python프로그래밍,3,0,3,0
1,2,계열교양,402142,전공주제,고급컴퓨터프로그래밍,3,0,3,0
1,2,전공필수,401473,,웹활용및실습,3,0,3,0
1,2,전공필수,400346,,이산수학,3,3,0,0
1,2,전공필수,401892,,인공지능기초,3,3,0,0
1,2,전공필수,400522,,컴퓨터프로그래밍 II,3,0,3,0
1,2,전공필수,402054,,컴퓨터프로그래밍응용,3,0,3,0
2,1,공통교양,100145,,지도교수멘토링 III,0.25,0.25,0,0
2,1,전공필수,400798,기초설계,공학설계입문,3,0,3,2
2,1,전공필수,400650,전공주제,데이터구조,3,3,0,0
2,1,전공필수,505510,전공주제,객체지향프로그래밍 I,3,0,3,0
2,1,전공선택,510520,전공주제,데이터사이언스,3,0,3,0
2,1,전공선택,503884,전공주제,컴퓨터네트워크,3,2,1,0
2,1,전공선택,504597,BSM,확률및통계,3,3,0,0
2,2,공통교양,100146,,지도교수멘토링 IV,0.25,0.25,0,0
2,2,공통교양,100172,,디지털시대의슬로리딩,2,2,0,0
2,2,전공필수,401475,전공주제,컴퓨터구조이론및실습,3,2,2,0
2,2,전공필수,511013,요소설계,객체지향프로그래밍(키스톤디자인),3,2,2,1
2,2,전공필수,511014,요소설계,비주얼프로그래밍(키스톤디자인),3,0,3,1
2,2,전공선택,400346,BSM,이산수학,3,3,0,0
2,2,전공선택,510944,전공주제,클라우드기반웹개발,3,0,3,0
2,2,전공선택,504062,전공주제,파일처리론,3,3,0,0
3,1,공통교양,100147,,지도교수멘토링 V,0.25,0.25,0,0
3,1,전공선택,507016,전공주제,그래픽스프로그래밍,3,0,3,0
3,1,전공선택,509233,전공주제,데이터베이스이론및실습,3,2,2,0
3,1,전공선택,505297,전공주제,멀티미디어시스템,3,0,3,0
3,1,전공선택,511015,요소설계,소프트웨어공학(키스톤디자인),3,2,2,1
3,1,전공선택,502695,전공주제,운영체제,3,3,0,0
3,1,전공선택,505300,전공주제,정보보호론,3,3,0,0
3,2,공통교양,100148,,지도교수멘토링 VI,0.25,0.25,0,0
3,2,전공선택,506626,요소설계,객체지향모델링,3,2,2,1
3,2,전공선택,506923,요소설계,데이터베이스응용,3,2,2,1
3,2,전공선택,509235,전공주제,모바일컴퓨팅,3,0,3,0
3,2,전공선택,510935,전공주제,오픈소스프로젝트,3,2,2,0
3,2,전공선택,508707,요소설계,캡스톤디자인 I,3,3,0,3
3,2,전공선택,508342,전공주제,컴퓨터비전,3,0,3,0
3,2,전공선택,506994,전공주제,컴퓨터알고리즘,3,3,0,0
4,1,공통교양,100149,,지도교수멘토링 VII,0.25,0.25,0,0
4,1,전공선택,505711,요소설계,객체지향설계,3,2,2,1
4,1,전공선택,509693,전공주제,머신러닝,3,1,2,0
4,1,전공선택,506104,요소설계,임베디드소프트웨어,3,0,3,1
4,1,전공선택,508708,종합설계,캡스톤디자인 II,3,0,3,3
4,1,전공선택,510946,전공주제,컴퓨터비전응용,3,0,3,0
4,2,공통교양,100150,,지도교수멘토링 VIII,0.25,0.25,0,0
4,2,전공선택,510677,전공주제,인공지능시스템,3,2,1,0
4,2,전공선택,508685,전공주제,인터넷창업및경영(산학연계학),3,3,0,0